ItemId,Group,Category,Type,Brand,Texture,Color,Thickness,Size,ItemCode,ItemName,MinStockQty,StandardUoM,IndUoM,PackUoM,PackQty
1,Machine and Parts,SORMZ Machine/Parts,Roller,,,,,60x735,,#NAME?,,piece,piece,,
2,Machine and Parts,SORMZ Machine/Parts,Roller,,,,,66x735,,#NAME?,,piece,piece,,
3,Machine and Parts,SORMZ Machine/Parts,Roller,,,,,66x745,,#NAME?,,piece,piece,,
4,Machine and Parts,SORMZ Machine/Parts,Roller,,,,,63x745,,#NAME?,,piece,piece,,
5,Machine and Parts,SORMZ Machine/Parts,Roller,,,,,72x745,,#NAME?,,piece,piece,,
6,Machine and Parts,Minerva Machine/Parts,Roller,,,,,10x15,,#NAME?,,piece,piece,,
7,Machine and Parts,KORS Machine/Parts,Roller,,,,,51x720,,#NAME?,,piece,piece,,
8,Machine and Parts,KORS Machine/Parts,Roller,,,,,53x720,,#NAME?,,piece,piece,,
9,Machine and Parts,KORS Machine/Parts,Roller,,,,,55x720,,#NAME?,,piece,piece,,
10,Machine and Parts,KORS Machine/Parts,Roller,,,,,57x720,,#NAME?,,piece,piece,,
11,Machine and Parts,KORS Machine/Parts,Roller,,,,,49x740,,#NAME?,,piece,piece,,
12,Machine and Parts,GTO Machine/Parts,Roller,,,,,45x510,,#NAME?,,piece,piece,,
13,Machine and Parts,GTO Machine/Parts,Roller,,,,,47x510,,#NAME?,,piece,piece,,
14,Machine and Parts,GTO Machine/Parts,Roller,,,,,49x510,,#NAME?,,piece,piece,,
15,Machine and Parts,GTO Machine/Parts,Roller,,,,,49x515,,#NAME?,,piece,piece,,
16,Machine and Parts,GTO Machine/Parts,Roller,,,,,51x510,,#NAME?,,piece,piece,,
17,Machine and Parts,GTO Machine/Parts,Roller,,,,,60x570,,#NAME?,,piece,piece,,
18,Paper,Cut-sized Paper,,Cactus,,White,,8.5x11in,PACUT Cactus-WHI-8.5x11in 500/R,#NAME?,,ream,sheet,ream,500
19,Paper,Cut-sized Paper,,Cactus,,White,,8.5x13in,PACUT Cactus-WHI-8.5x13in 500/R,#NAME?,,ream,sheet,ream,500
20,Paper,Cut-sized Paper,,Cactus,,White,,11x17in,PACUT Cactus-WHI-11x17in 500/R,#NAME?,,ream,sheet,ream,500
21,Paper,Cut-sized Paper,,Cactus,,White,,(A3)16.5x 8.75,PACUT Cactus-WHI-(A3)16.5x 8.75 500/R,#NAME?,,ream,sheet,ream,500
22,Paper,Cut-sized Paper,,Cactus,,White,,A4,PACUT Cactus-WHI-A4 500/R,#NAME?,,ream,sheet,ream,500
23,Paper,Cut-sized Paper,,Mimeo,Wove,White,,8.5x11in,PACUT Mimeo-W1-WHI-8.5x11in 500/R,#NAME?,,ream,sheet,ream,500
