Group,Category,Type,Brand,Texture,Color,Thickness,Size,MinStockQty,IndUoM,PackUoM,PackQty
Machine and Parts,SORMZ Machine/Parts,Roller,,,,,60x735,,piece,,
Machine and Parts,SORMZ Machine/Parts,Roller,,,,,66x735,,piece,,
Machine and Parts,SORMZ Machine/Parts,Roller,,,,,66x745,,piece,,
Machine and Parts,SORMZ Machine/Parts,Roller,,,,,63x745,,piece,,
Machine and Parts,SORMZ Machine/Parts,Roller,,,,,72x745,,piece,,
Machine and Parts,Minerva Machine/Parts,Roller,,,,,10x15,,piece,,
Machine and Parts,KORS Machine/Parts,Roller,,,,,51x720,,piece,,
Machine and Parts,KORS Machine/Parts,Roller,,,,,53x720,,piece,,
Machine and Parts,KORS Machine/Parts,Roller,,,,,55x720,,piece,,
Machine and Parts,KORS Machine/Parts,Roller,,,,,57x720,,piece,,
Machine and Parts,KORS Machine/Parts,Roller,,,,,49x740,,piece,,
Machine and Parts,GTO Machine/Parts,Roller,,,,,45x510,,piece,,
Machine and Parts,GTO Machine/Parts,Roller,,,,,47x510,,piece,,
Machine and Parts,GTO Machine/Parts,Roller,,,,,49x510,,piece,,
Machine and Parts,GTO Machine/Parts,Roller,,,,,49x515,,piece,,
Machine and Parts,GTO Machine/Parts,Roller,,,,,51x510,,piece,,
Machine and Parts,GTO Machine/Parts,Roller,,,,,60x570,,piece,,
Paper,Cut-sized Paper,,Cactus,,White,,8.5x11in,,sheet,ream,500
Paper,Cut-sized Paper,,Cactus,,White,,8.5x13in,,sheet,ream,500
Paper,Cut-sized Paper,,Cactus,,White,,11x17in,,sheet,ream,500
Paper,Cut-sized Paper,,Cactus,,White,,(A3)16.5x 8.75,,sheet,ream,500
Paper,Cut-sized Paper,,Cactus,,White,,A4,,sheet,ream,500
Paper,Cut-sized Paper,,Mimeo,Wove,White,,8.5x11in,,sheet,ream,500
Paper,Cut-sized Paper,,Mimeo,Wove,White,,8.5x13in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CB,White,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,Blue,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,Green,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,Pink,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,White,,22x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,Yellow,,22x34in,,sheet,ream,500
Machine and Parts,KORS Machine/Parts,Roller,,,,,51x718,,piece,,
Paper,Carbonless Paper,,Goldmark,CB,White,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,Blue,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,Green,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,Pink,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,White,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CFB,Yellow,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,Blue,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,Green,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,Pink,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,White,,28x34in,,sheet,ream,500
Paper,Carbonless Paper,,Goldmark,CF,Yellow,,28x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#40,22x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#50,22x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#60,22x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#70,22x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#80,22x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#40,28x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#50,28x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#60,28x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#70,28x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#80,28x34in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#40,25x38in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#50,25x38in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#60,25x38in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#70,25x38in,,sheet,ream,500
Paper,Book Paper,,Triplex,,White,#80,25x38in,,sheet,ream,500
Paper,Coated 2-Sides,,Triplex,Gloss,White,#60,25x38in,,sheet,,
Paper,Coated 2-Sides,,Triplex,Gloss,White,#70,25x38in,,sheet,ream,500
Paper,Coated 2-Sides,,Triplex,Gloss,White,#80,25x38in,,sheet,ream,500
Paper,Coated 2-Sides,,Triplex,Gloss,White,#100,25x38in,,sheet,,
Paper,Coated 2-Sides,,Triplex,Gloss,White,#120,25x38in,,sheet,,
Paper,Coated 2-Sides,,Triplex,Gloss,White,#140,25x38in,,sheet,,
Paper,Coated 2-Sides,,Triplex,Gloss,White,#160,25x38in,,sheet,,
Paper,Coated 2-Sides,,Triplex,Gloss,White,#170,25x38in,,sheet,,
Paper,Coated 2-Sides,,Triplex,Gloss,White,#180,25x38in,,sheet,,
Paper,Coated 2-Sides,,Triplex,Gloss,White,#200,25x38in,,sheet,,
Paper,Coated 2-Sides,,Triplex,Gloss,White,#220,25x38in,,sheet,,
Paper,Onionskin Paper,,OTC,,Blue,,22x34in,,sheet,ream,500
Paper,Onionskin Paper,,OTC,,Green,,22x34in,,sheet,ream,500
Paper,Onionskin Paper,,OTC,,Pink,,22x34in,,sheet,ream,500
Paper,Onionskin Paper,,OTC,,Yellow,,22x34in,,sheet,ream,500
Paper,Onionskin Paper,,OTC,,White,,22x34in,,sheet,ream,500
Paper,Onionskin Paper,,OTC,,Blue,,28x34in,,sheet,ream,500
Paper,Onionskin Paper,,OTC,,Green,,28x34in,,sheet,ream,500
Paper,Onionskin Paper,,OTC,,Pink,,28x34in,,sheet,ream,500
Paper,Onionskin Paper,,OTC,,Yellow,,28x34in,,sheet,ream,500
Paper,Board,Bristol,Triplex,Vellum,White,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Blue,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Green,#74,22.5x28.5in,,sheet,,
Paper,Board,Bristol,Triplex,Vellum,Golden Rod,#74,22.5x28.5in,,sheet,,
